# generated at: 2024-07-13 11:06:40.592115
#
# nodes: 1000
# cloud clusters: 3
# 	max size: 50
# 	min size: 50
# fog clusters: 283
# 	max size: 4
# 	min size: 2
# nodes with bandwidth specified: 100
# 	cloud: 15
# 	fog: 85
# total CPU cores: 5198
# total memory GiB: 15856
# total ingress Mbps: 387610.19056831603
# total egress Mbps: 411081.47100767744
#
# n: 1000
# cloud_size_percentage: 15
# fog_size_percentage: 85
# min_max_cloud_cluster_size_percentage: [2, 5]
# min_max_fog_cluster_size_percentage: [0.2, 0.4]
# cloud_node_types: ['T4', 'T5', 'T6', 'T7', 'T8', 'T9', 'T10']
# fog_node_types: ['T1', 'T2', 'T3', 'T4']
# base_node_single_core_score: 1000
# min_max_cloud_node_single_core_score: [900, 1800]
# min_max_fog_node_single_core_score: [500, 1200]
# min_max_cluster_node_cost_per_core: [100, 300]
# nodes_with_bandwidth_capacity_percentage: 10
# min_max_ingress_bandwidth_per_core: [10, 1500]
# min_max_egress_bandwidth_per_core: [10, 1500]
# min_max_cloud_uptime_percentage_30_days: [97, 100]
# min_max_fog_uptime_percentage_30_days: [90, 100]
# min_max_intra_cluster_latencies: [2, 5]
# min_max_inter_cluster_latencies: [15, 50]
#
hostname,layer,region,cloud_zone,fog_location,cpu_cores,single_core_score,base_single_core_score,memory_GiB,ingress_bandwidth_Mbps,egress_bandwidth_Mbps,uptime_30d_percentage,cost
0,cloud,region-0,region-0-a,,16,1588,1000,64,5618.696440018722,19767.404849683953,99.80956362611951,3487.4230546421413
1,cloud,region-0,region-0-a,,16,1373,1000,64,1757.6105368783037,4795.706865389609,99.87835612652873,2189.486859051409
2,cloud,region-0,region-0-a,,32,1714,1000,64,10771.988437979497,41580.66473341672,98.19835447043127,5928.790071790303
3,cloud,region-0,region-0-b,,8,1526,1000,16,1927.1847642185587,1415.93133387784,98.85607673556332,1253.931574286903
4,cloud,region-0,region-0-a,,8,1170,1000,32,3071.27537835667,744.00147972219,99.68944888418515,1640.8280352320219
5,cloud,region-0,region-0-a,,8,1438,1000,16,11185.039901007234,6005.842864214298,99.08159428318343,1113.7543988301186
6,cloud,region-0,region-0-b,,8,1506,1000,16,5380.611169603114,2046.6176040892892,99.36500288273605,880.0163457391727
7,cloud,region-0,region-0-a,,16,1104,1000,64,16148.948644812966,13430.874268283309,99.49207469266395,3623.6175461112634
8,cloud,region-0,region-0-a,,8,1653,1000,16,7665.256725988462,6388.322697550238,98.3939578499234,1396.6476440393849
9,cloud,region-0,region-0-c,,32,1337,1000,64,39318.23725502388,33409.2516221525,97.90426397339282,5878.320955057071
10,cloud,region-0,region-0-b,,32,1794,1000,128,42592.61808657711,47098.96267987239,97.75908245381557,7216.138002679733
11,cloud,region-0,region-0-a,,16,1132,1000,32,5586.579327478131,2826.3185716823673,98.85037563011974,3461.3245608384063
12,cloud,region-0,region-0-b,,16,1172,1000,64,23034.14049018649,13801.729101831554,99.5271979221169,4620.2344564139985
13,cloud,region-0,region-0-a,,16,1163,1000,64,19797.889037314373,15775.442710991672,98.59490671030629,3351.198531597922
14,cloud,region-0,region-0-a,,4,1092,1000,16,139.0748923240787,4521.666356418748,98.94628065506562,446.28812647023636
15,cloud,region-0,region-0-c,,4,1305,1000,16,2764.097238859159,5070.634158605956,99.11354153343427,900.9160880975103
16,cloud,region-0,region-0-a,,16,1148,1000,64,,,97.07051132077905,4091.702166799663
17,cloud,region-0,region-0-c,,16,1393,1000,64,,,97.04279602278109,3075.4397801182013
18,cloud,region-0,region-0-a,,4,926,1000,16,,,97.8846398912218,856.7507750004595
19,cloud,region-0,region-0-a,,8,1496,1000,32,,,97.50815518462609,842.8075734750403
20,cloud,region-0,region-0-a,,32,1623,1000,128,,,98.31206770491814,6175.450444006161
21,cloud,region-0,region-0-c,,16,1512,1000,64,,,97.47992967122627,2288.609699210187
22,cloud,region-0,region-0-c,,8,1383,1000,16,,,98.88465854071454,2214.668723391746
23,cloud,region-0,region-0-a,,8,946,1000,16,,,99.72533424469468,1592.0075775898895
24,cloud,region-0,region-0-b,,8,999,1000,32,,,97.84784638262876,2390.27313247196
25,cloud,region-0,region-0-c,,4,1030,1000,16,,,99.72734575531035,843.9963263711168
26,cloud,region-0,region-0-a,,32,1325,1000,128,,,99.79540418765426,7321.103672320148
27,cloud,region-0,region-0-b,,32,1046,1000,128,,,97.7012621266651,7457.083567538507
28,cloud,region-0,region-0-b,,16,1226,1000,64,,,97.2564222793764,4085.478841869007
29,cloud,region-0,region-0-a,,32,1529,1000,64,,,98.19078816531807,5737.151289383233
30,cloud,region-0,region-0-b,,32,969,1000,128,,,99.15258737757601,6584.650065880925
31,cloud,region-0,region-0-c,,16,991,1000,64,,,98.16730185760763,2632.7589039245586
32,cloud,region-0,region-0-c,,32,1376,1000,128,,,99.31898058841756,8048.5585618545865
33,cloud,region-0,region-0-b,,8,1729,1000,16,,,97.83517092072263,1166.1443893436065
34,cloud,region-0,region-0-b,,4,1215,1000,16,,,98.42011906049987,528.6258816493521
35,cloud,region-0,region-0-c,,32,1169,1000,64,,,98.79424092931377,5642.854392310366
36,cloud,region-0,region-0-b,,8,979,1000,16,,,97.21346332645456,2281.8850784752176
37,cloud,region-0,region-0-a,,8,1345,1000,32,,,97.66530708134319,1744.9217128366115
38,cloud,region-0,region-0-a,,16,1775,1000,64,,,98.14580579651376,1723.2317543418644
39,cloud,region-0,region-0-a,,16,1622,1000,64,,,99.28275116395449,2513.106338054494
40,cloud,region-0,region-0-c,,8,1641,1000,32,,,98.97728256207833,993.7250321519454
41,cloud,region-0,region-0-c,,16,1537,1000,64,,,97.67730404708057,4385.084082559889
42,cloud,region-0,region-0-a,,32,914,1000,64,,,97.56554080097855,3619.6313829848564
43,cloud,region-0,region-0-a,,8,1228,1000,16,,,97.35784772617247,1778.7996843145097
44,cloud,region-0,region-0-b,,16,1059,1000,32,,,97.34679599076848,4524.874218677833
45,cloud,region-0,region-0-a,,32,983,1000,128,,,99.68375410482619,3296.479013228052
46,cloud,region-0,region-0-c,,8,1303,1000,16,,,99.8655736565324,1928.296907500242
47,cloud,region-0,region-0-c,,8,1499,1000,32,,,98.7194032014602,1661.1718940796607
48,cloud,region-0,region-0-a,,4,1773,1000,16,,,98.81321428812187,566.9813784432375
49,cloud,region-0,region-0-a,,16,1151,1000,32,,,99.03545650690594,2634.483690019205
50,cloud,region-1,region-1-b,,4,972,1000,16,,,97.98244442737561,688.6740276307867
51,cloud,region-1,region-1-c,,16,1175,1000,32,,,99.91578160841424,4256.923217054375
52,cloud,region-1,region-1-c,,16,1181,1000,64,,,98.73952404821307,1624.946276858374
53,cloud,region-1,region-1-b,,32,1005,1000,64,,,97.91166957467394,5085.217826066707
54,cloud,region-1,region-1-b,,32,979,1000,64,,,97.70441217843762,6720.693968249234
55,cloud,region-1,region-1-b,,8,963,1000,16,,,98.43147531777565,1869.5074777655104
56,cloud,region-1,region-1-a,,8,1733,1000,32,,,99.59933991581536,2282.355497379386
57,cloud,region-1,region-1-c,,32,1006,1000,128,,,98.11883936646187,8927.373945723864
58,cloud,region-1,region-1-a,,4,1589,1000,16,,,97.87326747646834,656.7511316880073
59,cloud,region-1,region-1-b,,32,1709,1000,64,,,99.76381989349565,8531.160411633227
60,cloud,region-1,region-1-c,,16,1707,1000,32,,,99.41768815471968,2315.148660674254
61,cloud,region-1,region-1-c,,8,1497,1000,16,,,99.52211072376313,1619.3196247954152
62,cloud,region-1,region-1-a,,32,1561,1000,128,,,97.4344063399324,3694.2249197948167
63,cloud,region-1,region-1-c,,16,1140,1000,64,,,97.82946799329724,4174.870226296234
64,cloud,region-1,region-1-b,,32,933,1000,64,,,97.8522927282451,6550.364014304781
65,cloud,region-1,region-1-c,,16,1337,1000,64,,,99.61069536366297,2195.3768739114603
66,cloud,region-1,region-1-b,,8,1537,1000,16,,,97.62790586324499,1566.640256600351
67,cloud,region-1,region-1-c,,32,1085,1000,128,,,98.92983234140637,6573.058920102105
68,cloud,region-1,region-1-c,,16,1633,1000,64,,,97.43698335405955,4568.871129235693
69,cloud,region-1,region-1-b,,16,1762,1000,32,,,99.76027719671737,3303.2171405543827
70,cloud,region-1,region-1-a,,8,1403,1000,16,,,98.11339893515219,2202.7402726525056
71,cloud,region-1,region-1-b,,32,1506,1000,128,,,99.61107012308332,6150.452201637048
72,cloud,region-1,region-1-a,,32,1759,1000,128,,,99.72027883813114,3802.6965190559536
73,cloud,region-1,region-1-b,,16,1379,1000,32,,,98.49159997806271,2124.6322766115522
74,cloud,region-1,region-1-c,,16,1001,1000,32,,,99.5955652496329,2254.7069244108397
75,cloud,region-1,region-1-c,,16,1457,1000,64,,,97.62710726345989,1924.5356800816137
76,cloud,region-1,region-1-a,,32,1635,1000,128,,,97.39054164610388,8677.386016502714
77,cloud,region-1,region-1-b,,16,1676,1000,32,,,99.72320152686518,4609.5526892394155
78,cloud,region-1,region-1-b,,16,1190,1000,32,,,97.64283170218366,1837.2107921803517
79,cloud,region-1,region-1-b,,8,1339,1000,16,,,99.35626151669184,1984.8902484025095
80,cloud,region-1,region-1-c,,32,1260,1000,64,,,99.83407760665797,7122.815938139528
81,cloud,region-1,region-1-c,,16,1534,1000,32,,,98.99037432532094,1869.855278701482
82,cloud,region-1,region-1-c,,32,1620,1000,64,,,99.62449213765035,5959.021207330867
83,cloud,region-1,region-1-a,,16,960,1000,64,,,97.06010604575914,2875.817823028481
84,cloud,region-1,region-1-b,,32,1691,1000,128,,,99.37465208356717,7232.892044287808
85,cloud,region-1,region-1-b,,16,1192,1000,32,,,98.09717428261244,2976.4305014458646
86,cloud,region-1,region-1-c,,32,1193,1000,64,,,99.54677520110866,9377.235946238805
87,cloud,region-1,region-1-c,,16,1158,1000,64,,,98.20681695333987,1956.775143879048
88,cloud,region-1,region-1-a,,8,1285,1000,16,,,99.04594221660422,1071.5387154844839
89,cloud,region-1,region-1-a,,8,1570,1000,32,,,97.23535381781443,2252.406355829917
90,cloud,region-1,region-1-a,,8,1680,1000,32,,,99.87731715998244,1922.6400736355974
91,cloud,region-1,region-1-a,,32,1693,1000,128,,,97.08670193730849,4011.7806071428404
92,cloud,region-1,region-1-c,,32,1567,1000,64,,,99.14100505871352,4109.415687522765
93,cloud,region-1,region-1-c,,32,1588,1000,64,,,98.2882335279166,5191.300089459036
94,cloud,region-1,region-1-a,,16,1267,1000,64,,,98.90539954630975,4561.754781179905
95,cloud,region-1,region-1-c,,16,1665,1000,32,,,97.37365546359408,2280.355065669978
96,cloud,region-1,region-1-c,,4,1367,1000,16,,,98.46839287970087,566.0117445209985
97,cloud,region-1,region-1-a,,4,1290,1000,16,,,97.76296018451411,999.308232697476
98,cloud,region-1,region-1-a,,32,1002,1000,128,,,97.79506116141285,3484.562144813058
99,cloud,region-1,region-1-c,,16,1314,1000,32,,,99.55279565842703,2014.591309283545
100,cloud,region-2,region-2-b,,16,995,1000,32,,,98.22473554515236,2040.4554437698098
101,cloud,region-2,region-2-a,,32,1247,1000,64,,,99.94600243971098,5736.935033017614
102,cloud,region-2,region-2-b,,32,1144,1000,128,,,99.6350684790993,7444.8018416186105
103,cloud,region-2,region-2-c,,16,1041,1000,64,,,99.12298714735388,4246.067371328623
104,cloud,region-2,region-2-b,,16,1515,1000,64,,,99.92599576445556,4280.005084069482
105,cloud,region-2,region-2-c,,8,929,1000,32,,,97.6371498065643,1212.8927494080688
106,cloud,region-2,region-2-b,,32,1742,1000,128,,,98.52070308470019,8701.00205439379
107,cloud,region-2,region-2-c,,16,1724,1000,64,,,99.09411263873271,4797.64966643601
108,cloud,region-2,region-2-c,,16,1698,1000,64,,,99.5222004735527,2765.063023640733
109,cloud,region-2,region-2-a,,16,1789,1000,32,,,98.52455710495491,2012.0762618307363
110,cloud,region-2,region-2-b,,8,1107,1000,16,,,97.51033444177823,1882.6777146408403
111,cloud,region-2,region-2-a,,32,1120,1000,128,,,99.35600043037479,6659.535458339173
112,cloud,region-2,region-2-a,,8,1785,1000,16,,,98.13083536401562,1436.779486894423
113,cloud,region-2,region-2-a,,16,1360,1000,64,,,97.90286096077047,2502.3238258121296
114,cloud,region-2,region-2-a,,8,1053,1000,16,,,98.93973474005367,2264.3047099921746
115,cloud,region-2,region-2-c,,16,1426,1000,32,,,99.63241411722869,2593.2292519066827
116,cloud,region-2,region-2-b,,4,1254,1000,16,,,99.63204936612848,940.2663947219921
117,cloud,region-2,region-2-b,,32,1360,1000,128,,,98.23406029791649,7131.765829249251
118,cloud,region-2,region-2-b,,32,1767,1000,64,,,99.14300269436801,7794.501067132142
