# generated at: 2024-07-13 10:54:12.432822
#
# nodes: 1000
# cloud clusters: 4
# 	max size: 48
# 	min size: 21
# fog clusters: 286
# 	max size: 4
# 	min size: 2
# nodes with bandwidth specified: 100
# 	cloud: 15
# 	fog: 85
# total CPU cores: 4916
# total memory GiB: 14640
# total ingress Mbps: 391889.41593989544
# total egress Mbps: 418506.8017690639
#
# n: 1000
# cloud_size_percentage: 15
# fog_size_percentage: 85
# min_max_cloud_cluster_size_percentage: [2, 5]
# min_max_fog_cluster_size_percentage: [0.2, 0.4]
# cloud_node_types: ['T4', 'T5', 'T6', 'T7', 'T8', 'T9', 'T10']
# fog_node_types: ['T1', 'T2', 'T3', 'T4']
# base_node_single_core_score: 1000
# min_max_cloud_node_single_core_score: [900, 1800]
# min_max_fog_node_single_core_score: [500, 1200]
# min_max_cluster_node_cost_per_core: [100, 300]
# nodes_with_bandwidth_capacity_percentage: 10
# min_max_ingress_bandwidth_per_core: [10, 1500]
# min_max_egress_bandwidth_per_core: [10, 1500]
# min_max_cloud_uptime_percentage_30_days: [97, 100]
# min_max_fog_uptime_percentage_30_days: [90, 100]
# min_max_intra_cluster_latencies: [2, 5]
# min_max_inter_cluster_latencies: [15, 50]
#
hostname,layer,region,cloud_zone,fog_location,cpu_cores,single_core_score,base_single_core_score,memory_GiB,ingress_bandwidth_Mbps,egress_bandwidth_Mbps,uptime_30d_percentage,cost
0,cloud,region-0,region-0-a,,16,1187,1000,64,9823.9390637622,9970.371730450815,97.60176074886621,2567.870258005552
1,cloud,region-0,region-0-c,,16,1521,1000,32,19903.07674006698,22917.659058598532,98.99074252243815,3984.7942958418216
2,cloud,region-0,region-0-b,,16,916,1000,64,13478.65901384621,13138.48423148656,98.54686107239493,2583.524845927361
3,cloud,region-0,region-0-a,,16,1687,1000,32,5756.586009800323,4544.60923616612,97.22798345131062,4552.452040529954
4,cloud,region-0,region-0-b,,32,1780,1000,64,5421.7791933135095,45363.42608377602,99.77751587991965,4467.217070798665
5,cloud,region-0,region-0-a,,16,1270,1000,64,4511.843028621845,10655.229386770423,99.3788281706841,2673.9830642886614
6,cloud,region-0,region-0-c,,32,962,1000,128,22364.969671079587,32832.67744981886,98.401664859217,4665.526619484609
7,cloud,region-0,region-0-c,,8,1717,1000,32,1773.3300065639808,2314.7661541788098,98.99103228415947,2089.3949259883448
8,cloud,region-0,region-0-a,,8,1602,1000,16,7003.077814095779,10810.168971215327,97.25917734862881,2316.3221253965676
9,cloud,region-0,region-0-c,,4,1490,1000,16,4312.118881448699,1327.6368728875345,97.73509619586277,926.0939080686547
10,cloud,region-0,region-0-c,,8,1042,1000,16,3422.232299780196,7217.254062176719,98.27364931355065,2032.4225584921207
11,cloud,region-0,region-0-a,,8,1413,1000,16,10124.927834865872,5649.725148188822,97.5110417215612,2229.814790839221
12,cloud,region-0,region-0-b,,8,1124,1000,16,1736.6423155071468,11569.317175550761,98.44473006507351,2285.3508716984134
13,cloud,region-0,region-0-a,,32,1753,1000,64,28657.908393195245,15218.043957592945,99.7407167548565,5082.33890967329
14,cloud,region-0,region-0-b,,32,1531,1000,64,26473.579843408872,7620.999552801908,97.3566037641543,6688.002534962008
